3974197201,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Najee Harris (30330680),Rhamondre Stevenson (30330672),Cooper Kupp (30330870),Stefon Diggs (30330872),Elijah Moore (30330934),Logan Thomas (30331266),Courtland Sutton (30330912),Chiefs (30331480),,RB,Ty Johnson (30330832),Ty Johnson,30330832,RB/FLEX,4000,BUF@NE 10/22/2023 01:00PM ET,BUF,0.333333333,0.333333333
3974197217,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Josh Jacobs (30330648),Jerome Ford (30330682),Rondale Moore (30330970),Mike Evans (30330882),Terry McLaurin (30330908),Travis Kelce (30331244),Isiah Pacheco (30330668),Patriots (30331483),,QB,Jake Fromm (30330635),Jake Fromm,30330635,QB,4000,WAS@NYG 10/22/2023 01:00PM ET,WAS,0,0
3974197242,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Kenneth Walker III (30330656),Rachaad White (30330684),Mike Evans (30330882),Michael Pittman (30330888),Amari Cooper (30330894),Mark Andrews (30331246),Jaxon Smith-Njigba (30330940),Seahawks (30331472),,QB,Tommy DeVito (30330636),Tommy DeVito,30330636,QB,4000,WAS@NYG 10/22/2023 01:00PM ET,NYG,0,0
3974203574,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Zach Evans (30330798),Jahmyr Gibbs (30330664),Amon-Ra St. Brown (30330878),Zay Flowers (30330902),Darius Slayton (30330954),Travis Kelce (30331244),Tyler Lockett (30330896),Broncos (30331478),,RB,Gary Brightwell (30330754),Gary Brightwell,30330754,RB/FLEX,4000,WAS@NYG 10/22/2023 01:00PM ET,NYG,0.396666667,0.396666667
3974203587,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Bijan Robinson (30330650),Brian Robinson (30330670),Courtland Sutton (30330912),Marquise Brown (30330910),Elijah Moore (30330934),Mark Andrews (30331246),Keenan Allen (30330874),Ravens (30331479),,RB,Eric Gray (30330756),Eric Gray,30330756,RB/FLEX,4000,WAS@NYG 10/22/2023 01:00PM ET,NYG,0.426666667,0.426666667
,,,,,,,,,,,,,,RB,Chris Rodriguez Jr. (30330816),Chris Rodriguez Jr.,30330816,RB/FLEX,4000,WAS@NYG 10/22/2023 01:00PM ET,WAS,0.973333333,0.973333333
,,,,,,,,,,,,,,RB,Derrick Gore (30330818),Derrick Gore,30330818,RB/FLEX,4000,WAS@NYG 10/22/2023 01:00PM ET,WAS,0,0
,,,,,,,,,,,,,,RB,Alex Armah (30330820),Alex Armah,30330820,RB/FLEX,4000,WAS@NYG 10/22/2023 01:00PM ET,WAS,0,0
,,,,,,,,,,,,,,RB,Chris Myarick (30330822),Chris Myarick,30330822,RB/FLEX,4000,WAS@NYG 10/22/2023 01:00PM ET,NYG,0,0
,,,,,,,,,,,,,,WR,Curtis Samuel (30330938),Curtis Samuel,30330938,WR/FLEX,4000,WAS@NYG 10/22/2023 01:00PM ET,WAS,9.82,9.82
,,,,,,,,,,,,,,QB,John Wolford (30330633),John Wolford,30330633,QB,4000,ATL@TB 10/22/2023 01:00PM ET,TB,0,0
,,,,,,,,,,,,,,QB,Logan Woodside (30330634),Logan Woodside,30330634,QB,4000,ATL@TB 10/22/2023 01:00PM ET,ATL,0,0
,,,,,,,,,,,,,,RB,Chase Edmonds (30330802),Chase Edmonds,30330802,RB/FLEX,4000,ATL@TB 10/22/2023 01:00PM ET,TB,0,0
,,,,,,,,,,,,,,RB,Patrick Laird (30330804),Patrick Laird,30330804,RB/FLEX,4000,ATL@TB 10/22/2023 01:00PM ET,TB,0,0
,,,,,,,,,,,,,,RB,Cordarrelle Patterson (30330806),Cordarrelle Patterson,30330806,RB/FLEX,4000,ATL@TB 10/22/2023 01:00PM ET,ATL,1.253333333,1.253333333
,,,,,,,,,,,,,,RB,Avery Williams (30330808),Avery Williams,30330808,RB/FLEX,4000,ATL@TB 10/22/2023 01:00PM ET,ATL,0,0
,,,,,,,,,,,,,,RB,B.J. Baylor (30330810),B.J. Baylor,30330810,RB/FLEX,4000,ATL@TB 10/22/2023 01:00PM ET,ATL,0,0
,,,,,,,,,,,,,,RB,Keith Smith (30330812),Keith Smith,30330812,RB/FLEX,4000,ATL@TB 10/22/2023 01:00PM ET,ATL,0.243333333,0.243333333
,,,,,,,,,,,,,,RB,Carlos Washington Jr. (30330814),Carlos Washington Jr.,30330814,RB/FLEX,4000,ATL@TB 10/22/2023 01:00PM ET,ATL,0,0
,,,,,,,,,,,,,,TE,Kyle Pitts (30331256),Kyle Pitts,30331256,TE/FLEX,4000,ATL@TB 10/22/2023 01:00PM ET,ATL,8.206666667,8.206666667
,,,,,,,,,,,,,,QB,Stetson Bennett (30330632),Stetson Bennett,30330632,QB,4000,PIT@LAR 10/22/2023 04:05PM ET,LAR,0,0
,,,,,,,,,,,,,,RB,Godwin Igwebuike (30330788),Godwin Igwebuike,30330788,RB/FLEX,4000,PIT@LAR 10/22/2023 04:05PM ET,PIT,0,0
,,,,,,,,,,,,,,RB,Anthony McFarland Jr. (30330790),Anthony McFarland Jr.,30330790,RB/FLEX,4000,PIT@LAR 10/22/2023 04:05PM ET,PIT,0.256666667,0.256666667
,,,,,,,,,,,,,,RB,Alfonzo Graham (30330792),Alfonzo Graham,30330792,RB/FLEX,4000,PIT@LAR 10/22/2023 04:05PM ET,PIT,0,0
,,,,,,,,,,,,,,RB,Jack Colletto (30330794),Jack Colletto,30330794,RB/FLEX,4000,PIT@LAR 10/22/2023 04:05PM ET,PIT,0,0
,,,,,,,,,,,,,,RB,Qadree Ollison (30330796),Qadree Ollison,30330796,RB/FLEX,4000,PIT@LAR 10/22/2023 04:05PM ET,PIT,0,0
,,,,,,,,,,,,,,RB,Zach Evans (30330798),Zach Evans,30330798,RB/FLEX,4000,PIT@LAR 10/22/2023 04:05PM ET,LAR,11.08666667,11.08666667
,,,,,,,,,,,,,,RB,Royce Freeman (30330800),Royce Freeman,30330800,RB/FLEX,4000,PIT@LAR 10/22/2023 04:05PM ET,LAR,6.003333333,6.003333333
,,,,,,,,,,,,,,QB,Holton Ahlers (30330630),Holton Ahlers,30330630,QB,4000,ARI@SEA 10/22/2023 04:05PM ET,SEA,0,0
,,,,,,,,,,,,,,QB,Jeff Driskel (30330631),Jeff Driskel,30330631,QB,4000,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0
,,,,,,,,,,,,,,RB,James Conner (30330748),James Conner,30330748,RB/FLEX,4000,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0
,,,,,,,,,,,,,,RB,DeeJay Dallas (30330776),DeeJay Dallas,30330776,RB/FLEX,4000,ARI@SEA 10/22/2023 04:05PM ET,SEA,1.676666667,1.676666667
,,,,,,,,,,,,,,RB,Kenny McIntosh (30330778),Kenny McIntosh,30330778,RB/FLEX,4000,ARI@SEA 10/22/2023 04:05PM ET,SEA,0,0
,,,,,,,,,,,,,,RB,SaRodorick Thompson Jr. (30330780),SaRodorick Thompson Jr.,30330780,RB/FLEX,4000,ARI@SEA 10/22/2023 04:05PM ET,SEA,0,0
,,,,,,,,,,,,,,RB,Damien Williams (30330782),Damien Williams,30330782,RB/FLEX,4000,ARI@SEA 10/22/2023 04:05PM ET,ARI,4.296666667,4.296666667
,,,,,,,,,,,,,,RB,Marlon Mack (30330784),Marlon Mack,30330784,RB/FLEX,4000,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0
,,,,,,,,,,,,,,RB,Corey Clement (30330786),Corey Clement,30330786,RB/FLEX,4000,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0
,,,,,,,,,,,,,,QB,Alex McGough (30330628),Alex McGough,30330628,QB,4000,GB@DEN 10/22/2023 04:25PM ET,GB,0,0
,,,,,,,,,,,,,,QB,Ben DiNucci (30330629),Ben DiNucci,30330629,QB,4000,GB@DEN 10/22/2023 04:25PM ET,DEN,0,0
,,,,,,,,,,,,,,RB,Emanuel Wilson (30330766),Emanuel Wilson,30330766,RB/FLEX,4000,GB@DEN 10/22/2023 04:25PM ET,GB,0.143333333,0.143333333
,,,,,,,,,,,,,,RB,Henry Pearson (30330768),Henry Pearson,30330768,RB/FLEX,4000,GB@DEN 10/22/2023 04:25PM ET,GB,0,0
,,,,,,,,,,,,,,RB,Dwayne Washington (30330770),Dwayne Washington,30330770,RB/FLEX,4000,GB@DEN 10/22/2023 04:25PM ET,DEN,0,0
,,,,,,,,,,,,,,RB,Tyler Badie (30330772),Tyler Badie,30330772,RB/FLEX,4000,GB@DEN 10/22/2023 04:25PM ET,DEN,0,0
,,,,,,,,,,,,,,RB,Michael Burton (30330774),Michael Burton,30330774,RB/FLEX,4000,GB@DEN 10/22/2023 04:25PM ET,DEN,0.45,0.45
,,,,,,,,,,,,,,QB,Max Duggan (30330626),Max Duggan,30330626,QB,4000,LAC@KC 10/22/2023 04:25PM ET,LAC,0,0
,,,,,,,,,,,,,,QB,Chris Oladokun (30330627),Chris Oladokun,30330627,QB,4000,LAC@KC 10/22/2023 04:25PM ET,KC,0,0
,,,,,,,,,,,,,,RB,Elijah Dotson (30330758),Elijah Dotson,30330758,RB/FLEX,4000,LAC@KC 10/22/2023 04:25PM ET,LAC,0,0
,,,,,,,,,,,,,,RB,Jaret Patterson (30330760),Jaret Patterson,30330760,RB/FLEX,4000,LAC@KC 10/22/2023 04:25PM ET,LAC,0,0
,,,,,,,,,,,,,,RB,Deneric Prince (30330762),Deneric Prince,30330762,RB/FLEX,4000,LAC@KC 10/22/2023 04:25PM ET,KC,0,0
,,,,,,,,,,,,,,RB,La'Mical Perine (30330764),La'Mical Perine,30330764,RB/FLEX,4000,LAC@KC 10/22/2023 04:25PM ET,KC,0,0
,,,,,,,,,,,,,,WR,Odell Beckham Jr. (30330942),Odell Beckham Jr.,30330942,WR/FLEX,3900,DET@BAL 10/22/2023 01:00PM ET,BAL,5.626666667,5.626666667
,,,,,,,,,,,,,,TE,Pat Freiermuth (30331258),Pat Freiermuth,30331258,TE/FLEX,3900,PIT@LAR 10/22/2023 04:05PM ET,PIT,7.513333333,7.513333333
,,,,,,,,,,,,,,DST,Rams  (30331465),Rams ,30331465,DST,3900,PIT@LAR 10/22/2023 04:05PM ET,LAR,7.28,7.28
,,,,,,,,,,,,,,WR,Jaxon Smith-Njigba (30330940),Jaxon Smith-Njigba,30330940,WR/FLEX,3900,ARI@SEA 10/22/2023 04:05PM ET,SEA,8.67,8.67
,,,,,,,,,,,,,,WR,Jameson Williams (30330946),Jameson Williams,30330946,WR/FLEX,3800,DET@BAL 10/22/2023 01:00PM ET,DET,4.603333333,4.603333333
,,,,,,,,,,,,,,DST,Raiders  (30331466),Raiders ,30331466,DST,3800,LV@CHI 10/22/2023 01:00PM ET,LV,8.223333333,8.223333333
,,,,,,,,,,,,,,WR,Wan'Dale Robinson (30330952),Wan'Dale Robinson,30330952,WR/FLEX,3800,WAS@NYG 10/22/2023 01:00PM ET,NYG,9.806666667,9.806666667
,,,,,,,,,,,,,,WR,Michael Wilson (30330950),Michael Wilson,30330950,WR/FLEX,3800,ARI@SEA 10/22/2023 04:05PM ET,ARI,7.666666667,7.666666667
,,,,,,,,,,,,,,WR,Kadarius Toney (30330944),Kadarius Toney,30330944,WR/FLEX,3800,LAC@KC 10/22/2023 04:25PM ET,KC,8.633333333,8.633333333
,,,,,,,,,,,,,,WR,Quentin Johnston (30330948),Quentin Johnston,30330948,WR/FLEX,3800,LAC@KC 10/22/2023 04:25PM ET,LAC,5.713333333,5.713333333
,,,,,,,,,,,,,,TE,Gerald Everett (30331260),Gerald Everett,30331260,TE/FLEX,3800,LAC@KC 10/22/2023 04:25PM ET,LAC,6.943333333,6.943333333
,,,,,,,,,,,,,,WR,Darius Slayton (30330954),Darius Slayton,30330954,WR/FLEX,3700,WAS@NYG 10/22/2023 01:00PM ET,NYG,7.553333333,7.553333333
,,,,,,,,,,,,,,TE,Tyler Higbee (30331262),Tyler Higbee,30331262,TE/FLEX,3700,PIT@LAR 10/22/2023 04:05PM ET,LAR,7.726666667,7.726666667
,,,,,,,,,,,,,,WR,Jayden Reed (30330956),Jayden Reed,30330956,WR/FLEX,3700,GB@DEN 10/22/2023 04:25PM ET,GB,7.963333333,7.963333333
,,,,,,,,,,,,,,DST,Packers  (30331467),Packers ,30331467,DST,3700,GB@DEN 10/22/2023 04:25PM ET,GB,7.286666667,7.286666667
,,,,,,,,,,,,,,WR,Rashod Bateman (30330960),Rashod Bateman,30330960,WR/FLEX,3600,DET@BAL 10/22/2023 01:00PM ET,BAL,4.606666667,4.606666667
,,,,,,,,,,,,,,WR,Trey Palmer (30330964),Trey Palmer,30330964,WR/FLEX,3600,ATL@TB 10/22/2023 01:00PM ET,TB,5.92,5.92
,,,,,,,,,,,,,,TE,Jonnu Smith (30331264),Jonnu Smith,30331264,TE/FLEX,3600,ATL@TB 10/22/2023 01:00PM ET,ATL,7.68,7.68
,,,,,,,,,,,,,,DST,Buccaneers  (30331468),Buccaneers ,30331468,DST,3600,ATL@TB 10/22/2023 01:00PM ET,TB,8.113333333,8.113333333
,,,,,,,,,,,,,,WR,Allen Robinson II (30330958),Allen Robinson II,30330958,WR/FLEX,3600,PIT@LAR 10/22/2023 04:05PM ET,PIT,6.03,6.03
,,,,,,,,,,,,,,WR,Marvin Mims Jr. (30330962),Marvin Mims Jr.,30330962,WR/FLEX,3600,GB@DEN 10/22/2023 04:25PM ET,DEN,4.536666667,4.536666667
,,,,,,,,,,,,,,WR,Darnell Mooney (30330972),Darnell Mooney,30330972,WR/FLEX,3500,LV@CHI 10/22/2023 01:00PM ET,CHI,5.45,5.45
,,,,,,,,,,,,,,TE,Logan Thomas (30331266),Logan Thomas,30331266,TE/FLEX,3500,WAS@NYG 10/22/2023 01:00PM ET,WAS,7.706666667,7.706666667
,,,,,,,,,,,,,,DST,Commanders  (30331469),Commanders ,30331469,DST,3500,WAS@NYG 10/22/2023 01:00PM ET,WAS,8.19,8.19
,,,,,,,,,,,,,,WR,Van Jefferson (30330966),Van Jefferson,30330966,WR/FLEX,3500,ATL@TB 10/22/2023 01:00PM ET,ATL,2.473333333,2.473333333
,,,,,,,,,,,,,,WR,Rondale Moore (30330970),Rondale Moore,30330970,WR/FLEX,3500,ARI@SEA 10/22/2023 04:05PM ET,ARI,8.076666667,8.076666667
,,,,,,,,,,,,,,WR,Skyy Moore (30330968),Skyy Moore,30330968,WR/FLEX,3500,LAC@KC 10/22/2023 04:25PM ET,KC,6.153333333,6.153333333
,,,,,,,,,,,,,,WR,Nelson Agholor (30330976),Nelson Agholor,30330976,WR/FLEX,3400,DET@BAL 10/22/2023 01:00PM ET,BAL,5.77,5.77
,,,,,,,,,,,,,,WR,Kalif Raymond (30330978),Kalif Raymond,30330978,WR/FLEX,3400,DET@BAL 10/22/2023 01:00PM ET,DET,4.303333333,4.303333333
,,,,,,,,,,,,,,TE,David Njoku (30331268),David Njoku,30331268,TE/FLEX,3400,CLE@IND 10/22/2023 01:00PM ET,CLE,7.393333333,7.393333333
,,,,,,,,,,,,,,DST,Colts  (30331470),Colts ,30331470,DST,3400,CLE@IND 10/22/2023 01:00PM ET,IND,7.85,7.85
,,,,,,,,,,,,,,WR,DeVante Parker (30330980),DeVante Parker,30330980,WR/FLEX,3400,BUF@NE 10/22/2023 01:00PM ET,NE,6.733333333,6.733333333
,,,,,,,,,,,,,,WR,Mack Hollins (30330974),Mack Hollins,30330974,WR/FLEX,3400,ATL@TB 10/22/2023 01:00PM ET,ATL,2.803333333,2.803333333
,,,,,,,,,,,,,,WR,Alec Pierce (30330984),Alec Pierce,30330984,WR/FLEX,3300,CLE@IND 10/22/2023 01:00PM ET,IND,5.28,5.28
,,,,,,,,,,,,,,DST,Browns  (30331471),Browns ,30331471,DST,3300,CLE@IND 10/22/2023 01:00PM ET,CLE,8,8
,,,,,,,,,,,,,,WR,Calvin Austin III (30330982),Calvin Austin III,30330982,WR/FLEX,3300,PIT@LAR 10/22/2023 04:05PM ET,PIT,3.166666667,3.166666667
,,,,,,,,,,,,,,TE,Luke Musgrave (30331270),Luke Musgrave,30331270,TE/FLEX,3300,GB@DEN 10/22/2023 04:25PM ET,GB,9.293333333,9.293333333
,,,,,,,,,,,,,,WR,Derius Davis (30330986),Derius Davis,30330986,WR/FLEX,3300,LAC@KC 10/22/2023 04:25PM ET,LAC,1.056666667,1.056666667
,,,,,,,,,,,,,,WR,Donovan Peoples-Jones (30330988),Donovan Peoples-Jones,30330988,WR/FLEX,3200,CLE@IND 10/22/2023 01:00PM ET,CLE,5.323333333,5.323333333
,,,,,,,,,,,,,,WR,JuJu Smith-Schuster (30330992),JuJu Smith-Schuster,30330992,WR/FLEX,3200,BUF@NE 10/22/2023 01:00PM ET,NE,5.66,5.66
,,,,,,,,,,,,,,WR,Jake Bobo (30330994),Jake Bobo,30330994,WR/FLEX,3200,ARI@SEA 10/22/2023 04:05PM ET,SEA,2.583333333,2.583333333
,,,,,,,,,,,,,,TE,Zach Ertz (30331272),Zach Ertz,30331272,TE/FLEX,3200,ARI@SEA 10/22/2023 04:05PM ET,ARI,7.88,7.88
,,,,,,,,,,,,,,DST,Seahawks  (30331472),Seahawks ,30331472,DST,3200,ARI@SEA 10/22/2023 04:05PM ET,SEA,8.22,8.22
,,,,,,,,,,,,,,WR,Marquez Valdes-Scantling (30330990),Marquez Valdes-Scantling,30330990,WR/FLEX,3200,LAC@KC 10/22/2023 04:25PM ET,KC,4.49,4.49
,,,,,,,,,,,,,,WR,Mecole Hardman Jr. (30417859),Mecole Hardman Jr.,30417859,WR/FLEX,3200,LAC@KC 10/22/2023 04:25PM ET,KC,0,0
,,,,,,,,,,,,,,WR,Hunter Renfrow (30330996),Hunter Renfrow,30330996,WR/FLEX,3100,LV@CHI 10/22/2023 01:00PM ET,LV,1.553333333,1.553333333
,,,,,,,,,,,,,,WR,Khalil Shakir (30330998),Khalil Shakir,30330998,WR/FLEX,3100,BUF@NE 10/22/2023 01:00PM ET,BUF,1.686666667,1.686666667
,,,,,,,,,,,,,,TE,Dalton Kincaid (30331274),Dalton Kincaid,30331274,TE/FLEX,3100,BUF@NE 10/22/2023 01:00PM ET,BUF,4.41,4.41
,,,,,,,,,,,,,,DST,Steelers  (30331473),Steelers ,30331473,DST,3100,PIT@LAR 10/22/2023 04:05PM ET,PIT,6.993333333,6.993333333
,,,,,,,,,,,,,,WR,Devin Duvernay (30331224),Devin Duvernay,30331224,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,BAL,1.063333333,1.063333333
,,,,,,,,,,,,,,WR,Tylan Wallace (30331226),Tylan Wallace,30331226,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
,,,,,,,,,,,,,,WR,Sean Ryan (30331228),Sean Ryan,30331228,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
,,,,,,,,,,,,,,WR,Tarik Black (30331230),Tarik Black,30331230,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
,,,,,,,,,,,,,,WR,Laquon Treadwell (30331232),Laquon Treadwell,30331232,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
,,,,,,,,,,,,,,WR,Marvin Jones Jr. (30331234),Marvin Jones Jr.,30331234,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,DET,1.836666667,1.836666667
,,,,,,,,,,,,,,WR,Antoine Green (30331236),Antoine Green,30331236,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,DET,0.093333333,0.093333333
,,,,,,,,,,,,,,WR,Dylan Drummond (30331238),Dylan Drummond,30331238,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
,,,,,,,,,,,,,,WR,Daurice Fountain (30331240),Daurice Fountain,30331240,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
,,,,,,,,,,,,,,WR,Maurice Alexander (30331242),Maurice Alexander,30331242,WR/FLEX,3000,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
,,,,,,,,,,,,,,WR,Tre Tucker (30331200),Tre Tucker,30331200,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,LV,2.166666667,2.166666667
,,,,,,,,,,,,,,WR,DeAndre Carter (30331202),DeAndre Carter,30331202,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,LV,0.963333333,0.963333333
,,,,,,,,,,,,,,WR,Kristian Wilkerson (30331204),Kristian Wilkerson,30331204,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,LV,0,0
,,,,,,,,,,,,,,WR,Malik Flowers (30331206),Malik Flowers,30331206,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,LV,0,0
,,,,,,,,,,,,,,WR,Keelan Cole Sr. (30331208),Keelan Cole Sr.,30331208,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,LV,0,0
,,,,,,,,,,,,,,WR,Tyler Scott (30331210),Tyler Scott,30331210,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,CHI,3.79,3.79
,,,,,,,,,,,,,,WR,Velus Jones Jr. (30331212),Velus Jones Jr.,30331212,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,CHI,0.63,0.63
,,,,,,,,,,,,,,WR,Trent Taylor (30331214),Trent Taylor,30331214,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,CHI,0.313333333,0.313333333
,,,,,,,,,,,,,,WR,Equanimeous St. Brown (30331216),Equanimeous St. Brown,30331216,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,CHI,0,0
,,,,,,,,,,,,,,WR,Joe Reed (30331218),Joe Reed,30331218,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,CHI,0,0
,,,,,,,,,,,,,,WR,Collin Johnson (30331220),Collin Johnson,30331220,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,CHI,0,0
,,,,,,,,,,,,,,WR,Nsimba Webster (30331222),Nsimba Webster,30331222,WR/FLEX,3000,LV@CHI 10/22/2023 01:00PM ET,CHI,0,0
,,,,,,,,,,,,,,WR,Isaiah McKenzie (30331172),Isaiah McKenzie,30331172,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,IND,1.02,1.02
,,,,,,,,,,,,,,WR,Amari Rodgers (30331174),Amari Rodgers,30331174,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,IND,0.83,0.83
,,,,,,,,,,,,,,WR,Ashton Dulin (30331176),Ashton Dulin,30331176,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
,,,,,,,,,,,,,,WR,KJ Hamler (30331178),KJ Hamler,30331178,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
,,,,,,,,,,,,,,WR,D.J. Montgomery (30331180),D.J. Montgomery,30331180,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
,,,,,,,,,,,,,,WR,Racey McMath (30331182),Racey McMath,30331182,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
,,,,,,,,,,,,,,WR,Anthony Miller (30331184),Anthony Miller,30331184,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
,,,,,,,,,,,,,,WR,Cedric Tillman (30331186),Cedric Tillman,30331186,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,CLE,0.566666667,0.566666667
,,,,,,,,,,,,,,WR,David Bell (30331188),David Bell,30331188,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,CLE,1.013333333,1.013333333
,,,,,,,,,,,,,,WR,Marquise Goodwin (30331190),Marquise Goodwin,30331190,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,CLE,1.34,1.34
,,,,,,,,,,,,,,WR,Jaelon Darden (30331192),Jaelon Darden,30331192,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,CLE,0,0
,,,,,,,,,,,,,,WR,Jakeem Grant Sr. (30331194),Jakeem Grant Sr.,30331194,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,CLE,0,0
,,,,,,,,,,,,,,WR,Michael Woods II (30331196),Michael Woods II,30331196,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,CLE,0,0
,,,,,,,,,,,,,,WR,Austin Watkins Jr. (30331198),Austin Watkins Jr.,30331198,WR/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,CLE,0,0
,,,,,,,,,,,,,,TE,Kylen Granson (30331276),Kylen Granson,30331276,TE/FLEX,3000,CLE@IND 10/22/2023 01:00PM ET,IND,3.69,3.69
,,,,,,,,,,,,,,WR,Ty Montgomery II (30331144),Ty Montgomery II,30331144,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,NE,1.123333333,1.123333333
,,,,,,,,,,,,,,WR,Demario Douglas (30331146),Demario Douglas,30331146,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,NE,2.836666667,2.836666667
,,,,,,,,,,,,,,WR,Tyquan Thornton (30331148),Tyquan Thornton,30331148,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,NE,1.176666667,1.176666667
,,,,,,,,,,,,,,WR,Jalen Reagor (30331150),Jalen Reagor,30331150,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,NE,0,0
,,,,,,,,,,,,,,WR,Kayshon Boutte (30331152),Kayshon Boutte,30331152,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,NE,0,0
,,,,,,,,,,,,,,WR,Matthew Slater (30331154),Matthew Slater,30331154,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,NE,0,0
,,,,,,,,,,,,,,WR,Tre Nixon (30331156),Tre Nixon,30331156,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,NE,0,0
,,,,,,,,,,,,,,WR,T.J. Luther (30331158),T.J. Luther,30331158,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,NE,0,0
,,,,,,,,,,,,,,WR,Deonte Harty (30331160),Deonte Harty,30331160,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,BUF,4.126666667,4.126666667
,,,,,,,,,,,,,,WR,Trent Sherfield (30331162),Trent Sherfield,30331162,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,BUF,2.536666667,2.536666667
,,,,,,,,,,,,,,WR,Justin Shorter (30331164),Justin Shorter,30331164,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,BUF,0,0
,,,,,,,,,,,,,,WR,Tyrell Shavers (30331166),Tyrell Shavers,30331166,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,BUF,0,0
,,,,,,,,,,,,,,WR,Andy Isabella (30331168),Andy Isabella,30331168,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,BUF,0,0
,,,,,,,,,,,,,,WR,Bryan Thompson (30331170),Bryan Thompson,30331170,WR/FLEX,3000,BUF@NE 10/22/2023 01:00PM ET,BUF,0,0
,,,,,,,,,,,,,,WR,Jalin Hyatt (30331000),Jalin Hyatt,30331000,WR/FLEX,3000,WAS@NYG 10/22/2023 01:00PM ET,NYG,4.606666667,4.606666667
,,,,,,,,,,,,,,WR,Parris Campbell (30331004),Parris Campbell,30331004,WR/FLEX,3000,WAS@NYG 10/22/2023 01:00PM ET,NYG,1.586666667,1.586666667
